fips,life_expectancy,le_ci_low,le_ci_high,premature_mortality,drug_overdose_deaths,child_mortality
32017,81.765779477,79.447810657,84.083748298,5061.7187422,,
32019,76.20011434,75.504761723,76.895466957,8365.4636241,27.965998007,33.175060648
32021,71.614510711,68.691387922,74.537633499,13845.149318,,
32023,74.097546397,73.233396113,74.961696681,10837.213265,31.445866655,81.584701237
32027,77.6947732,75.405746729,79.98379967,7480.2017755,,
32029,82.871253023,79.748575873,85.993930173,5551.0611914,,
32031,78.160183557,77.901705722,78.418661391,7273.2007912,27.857595366,50.871010968
32033,79.723764757,77.51826778,81.929261735,7423.4387913,,
32510,74.409476441,73.698329414,75.120623467,9709.6181441,25.09500251,62.161442145
33001,77.070992448,76.339210451,77.802774445,8413.7199372,37.525288782,37.916806067
33003,79.706624619,78.785051328,80.628197911,7458.9692444,24.513809446,52.628116571
33005,79.559124776,78.92487809,80.193371462,6547.1075021,30.156551839,38.589463239
33007,77.230641035,76.278623515,78.182658554,7575.3767209,24.38352098,
33009,80.666413128,80.078133546,81.254692711,5925.7793277,17.384035537,27.668257591
33011,79.419880872,79.145125982,79.694635763,6595.7541474,35.25160131,36.534942851
33013,79.47261762,79.023767421,79.92146782,6475.0315538,30.32000791,31.367628607
33015,80.786545982,80.486593983,81.08649798,5223.0384712,26.874438324,21.4209211
33017,78.207028742,77.728776297,78.685281188,6973.2962989,39.515010605,35.581602219
33019,79.69799542,78.854557584,80.541433257,6631.3281845,18.524664819,
34001,76.680522892,76.326548976,77.034496807,9134.8290525,58.835115221,50.684011862
34003,82.142487724,81.972566041,82.312409406,4300.3095935,17.540174502,22.490905714
34005,79.124622395,78.866096563,79.383148227,6623.4355171,37.313181723,34.02361671
34007,76.692071051,76.442109752,76.94203235,8682.7266299,56.69717264,49.321985655
34009,76.872813403,76.263608631,77.482018175,9104.1608001,56.492060331,41.763341067
34011,74.602310983,74.138296768,75.066325198,10533.72337,58.993490605,55.774003737
34013,78.022445605,77.812079099,78.232812111,7906.9190407,37.55351167,42.830221004
34015,77.226809943,76.905153896,77.54846599,7837.1281995,54.205861308,33.066570091
34017,80.480667346,80.238143441,80.723191251,5775.0348216,22.869951161,32.30941529
34019,83.169786504,82.643522132,83.696050877,4215.8396327,13.37320331,30.186008265
34021,79.325416213,79.023819413,79.627013013,6850.4951981,31.598580327,41.957108392
34023,80.590686228,80.400349248,80.781023209,5425.2171049,25.106125854,29.219830525
34025,79.848582066,79.635886056,80.061278077,5793.3577793,30.884623869,27.50017665
34027,81.808385511,81.577477729,82.039293294,4320.9978076,19.699964797,21.695791258
34029,78.512500892,78.296062488,78.728939296,7087.0718118,37.299637864,30.536551222
34031,78.906688729,78.657828196,79.155549263,6841.2295756,28.495175747,34.17122283
34033,74.038532546,73.238258434,74.838806659,12039.344378,66.15344398,52.208610692
34035,81.945326208,81.652407171,82.238245244,4366.3885713,16.777353403,27.805486718
34037,78.766104906,78.315074516,79.217135296,6432.230622,35.13027874,28.974221997
34039,79.829533859,79.591078773,80.067988946,6048.0776007,26.649866272,36.23764996
34041,79.148050992,78.605948639,79.690153344,6656.8844855,28.736539615,30.127741624
35001,77.395742574,77.16049529,77.630989857,9292.6455262,39.470690683,53.444707779
35003,80.35212065,76.484495036,84.219746263,9287.6277479,,
35005,74.535653975,73.789635808,75.281672142,11107.473949,21.647810736,61.945988997
35006,74.41133869,73.209025134,75.613652247,12305.898603,18.802883109,43.966585395
35007,76.944852871,74.699462404,79.190243337,11961.180138,33.35371616,
35009,76.065209006,75.206544703,76.923873308,9254.4844812,27.856288727,65.562390328
35011,77.250439027,72.537963633,81.962914421,8817.8057164,,
35013,78.624437503,78.21139857,79.037476436,7704.4891081,16.591093475,39.023564591
35015,74.338706244,73.563089726,75.114322761,11088.876622,29.179873897,61.913451512
35017,76.784768111,75.615062938,77.954473283,9929.2573584,29.501788546,
35019,75.655568681,72.829523227,78.481614136,10511.842638,,
35023,75.593980246,73.044532609,78.143427883,8634.9848527,,
35025,74.424967078,73.713532058,75.136402097,10496.708666,24.939885465,55.847334775
35027,78.784654543,77.205926754,80.363382331,9345.0599223,27.087883251,
35028,83.868707792,82.668815664,85.068599919,3836.5902675,,
35029,74.948461626,73.829356869,76.067566382,9916.8401679,20.956452492,64.025610244
35031,67.940805395,67.14952001,68.732090779,21478.399048,19.58215413,66.034044218
35033,79.168046966,75.190210091,83.14588384,11018.678577,,
35035,77.097881062,76.334895405,77.860866719,9338.0961869,19.284209694,61.621288534
35037,73.362198494,71.265779717,75.458617271,13032.614021,,
35039,72.577508955,71.387795495,73.767222416,17738.308814,80.722726024,58.076827346
35041,76.370767496,74.887591949,77.853943042,9863.3042116,,88.893827435
35043,78.542319022,78.047228379,79.037409666,8007.9156626,21.096519982,43.143526611
35045,74.036868747,73.447197683,74.62653981,13411.309108,23.367435464,62.477142509
35047,77.001002742,75.691885971,78.310119513,10950.692997,36.580012681,65.759522485
35049,80.982258605,80.431640906,81.532876304,7722.4828095,33.380493412,38.359342839
35051,72.099645859,70.058570912,74.140720806,14264.457236,55.170722736,
35053,75.513229097,73.917638806,77.108819389,11785.214234,40.069721315,66.947847627
35055,79.389272045,78.050783499,80.727760591,10605.66408,26.489796334,43.658589828
35057,76.544994671,74.820830016,78.269159325,11274.30011,38.678069535,
35059,76.923222811,73.933357359,79.913088264,9211.5995831,,
35061,76.482560708,75.753529703,77.211591712,10260.019706,35.97465304,51.611103362
36001,79.423543274,79.09871351,79.748373037,6525.1151901,20.845224752,46.697798532
36003,77.886721412,77.103647464,78.669795361,7084.808616,10.861065253,37.447172738
36005,77.995462018,77.828809854,78.162114182,8106.4970752,32.059416472,42.678632727
36007,78.079694685,77.671429518,78.487959852,7542.3941183,28.693049109,48.738881443
36009,77.107615052,76.460880775,77.75434933,8180.6303854,18.792063631,48.834628191
36011,79.050232092,78.402388888,79.698075297,6976.1140472,24.374319913,36.637966926
36013,77.770513033,77.273144534,78.267881532,7860.9172858,27.830726172,43.527465831
36015,76.350188735,75.753199588,76.947177882,8580.8425026,32.357029864,62.967886378
36017,76.616390684,75.780703179,77.452078188,8554.7275771,15.550670446,69.21124811
